taxon_key,taxon_name,common_name,eez_name,eez_neighbour,n_ens,emerging_yr,Tresh
600006,Coryphaena hippurus,Common dolphinfish,US Virgin Islands,Anguilla (UK),10,2022,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Anguilla (UK),US Virgin Islands,10,2022,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Guadeloupe (France),Antigua & Barbuda,10,2084,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,Guadeloupe (France),10,2084,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Montserrat (UK),Antigua & Barbuda,10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,Montserrat (UK),10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Montserrat (UK),Antigua & Barbuda,10,2015,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,Montserrat (UK),10,2015,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Saint Kitts & Nevis,Antigua & Barbuda,10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,Saint Kitts & Nevis,10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Saint Kitts & Nevis,Antigua & Barbuda,10,2015,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,Saint Kitts & Nevis,10,2015,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,St Barthelemy (France),Antigua & Barbuda,10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,St Barthelemy (France),10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,St Barthelemy (France),Antigua & Barbuda,10,2016,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Antigua & Barbuda,St Barthelemy (France),10,2016,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Dominican Republic,Aruba (Netherlands),10,2021,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Aruba (Netherlands),Dominican Republic,10,2021,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Dominican Republic,Aruba (Netherlands),10,2069,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Aruba (Netherlands),Dominican Republic,10,2069,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Venezuela,Aruba (Netherlands),10,2053,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Aruba (Netherlands),Venezuela,10,2053,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Eastern),Australia,10,2057,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Australia,Indonesia (Eastern),10,2057,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,New Caledonia (France),Australia,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Australia,New Caledonia (France),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,New Caledonia (France),Australia,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Australia,New Caledonia (France),10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Papua New Guinea,Australia,10,2012,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Australia,Papua New Guinea,10,2012,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Papua New Guinea,Australia,10,2026,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Australia,Papua New Guinea,10,2026,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Solomon Isl.,Australia,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Australia,Solomon Isl.,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Solomon Isl.,Australia,10,2013,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Australia,Solomon Isl.,10,2013,Tresh_two
