eez_name,eez_neighbour,variable,early,historical,mid,per_early,per_mid,per_mid_plot,per_early_plot
Algeria,Spain (Mediterranean and Gulf of Cadiz),n_spp,28,60,34,-53.33,-43.33,-43.33,-53.33
Algeria,Spain (Mediterranean and Gulf of Cadiz),n_stock,28,60,34,-53.33,-43.33,-43.33,-53.33
Algeria,Spain (Mediterranean and Gulf of Cadiz),sd_eez,0.26191671882369266,0.2124837239278018,0.2818767814453341,23.26,32.66,32.66,23.26
Algeria,Tunisia,max_eez,0.9987327887852696,0.9850970448467459,0.9983968026025756,1.38,1.35,1.35,1.38
Algeria,Tunisia,mean_eez,0.2840773482097687,0.32354419071537055,0.25558326905488205,-12.2,-21.01,-21.01,-12.2
Algeria,Tunisia,min_eez,0.15324101257232473,0.16840440389596922,0.12293123265566028,-9,-27,-27,-9
Algeria,Tunisia,n_per,52.88461538461539,NA,62.019230769230774,52.88461538461539,62.019230769230774,62.019230769230774,52.88461538461539
Algeria,Tunisia,n_spp,24,44,27,-45.45,-38.64,-38.64,-45.45
Algeria,Tunisia,n_stock,24,44,27,-45.45,-38.64,-38.64,-45.45
Algeria,Tunisia,sd_eez,0.2768503467876521,0.19826308139598034,0.2906935386621129,39.64,46.62,46.62,39.64
American Samoa,Niue (New Zealand),max_eez,0.5877978898355467,0.6592912927574507,0.6370310445546521,-10.84,-3.38,-3.38,-10.84
American Samoa,Niue (New Zealand),mean_eez,0.5877978898355467,0.581572459604961,0.5078227776373277,1.07,-12.68,-12.68,1.07
American Samoa,Niue (New Zealand),min_eez,0.5877978898355467,0.4036949191372779,0.3786145107200034,45.6,-6.21,-6.21,45.6
American Samoa,Niue (New Zealand),n_per,39.53488372093023,NA,37.2093023255814,39.53488372093023,37.2093023255814,37.2093023255814,39.53488372093023
American Samoa,Niue (New Zealand),n_spp,1,8,2,-87.5,-75,-75,-87.5
American Samoa,Niue (New Zealand),n_stock,1,8,2,-87.5,-75,-75,-87.5
American Samoa,Niue (New Zealand),sd_eez,NA,0.07353503766405942,0.18272808344520297,NA,148.49,100,NA
American Samoa,Samoa,max_eez,0.5932186207122812,0.7563173777660216,0.7338605872553251,-21.56,-2.97,-2.97,-21.56
American Samoa,Samoa,mean_eez,0.5932186207122812,0.7381090749031773,0.661446797344569,-19.63,-10.39,-10.39,-19.63
American Samoa,Samoa,min_eez,0.5932186207122812,0.4963212929785892,0.5890330074338129,19.52,18.68,18.68,19.52
American Samoa,Samoa,n_per,39.53488372093023,NA,37.2093023255814,39.53488372093023,37.2093023255814,37.2093023255814,39.53488372093023
American Samoa,Samoa,n_spp,1,14,2,-92.86,-85.71,-85.71,-92.86
American Samoa,Samoa,n_stock,1,14,2,-92.86,-85.71,-85.71,-92.86
American Samoa,Samoa,sd_eez,NA,0.09764287175649414,0.10240856379462725,NA,4.88,4.88,NA
American Samoa,Tokelau (New Zealand),max_eez,0.7911288157149466,0.6469940918698447,0.974259354638627,22.28,50.58,50.58,22.28
American Samoa,Tokelau (New Zealand),mean_eez,0.6425753589843588,0.5665249717805201,0.8526314081428298,13.42,50.5,50.5,13.42
American Samoa,Tokelau (New Zealand),min_eez,0.6112756221819028,0.4783697832701481,0.8117447002974482,27.78,69.69,69.69,27.78
American Samoa,Tokelau (New Zealand),n_per,39.53488372093023,NA,37.2093023255814,39.53488372093023,37.2093023255814,37.2093023255814,39.53488372093023
American Samoa,Tokelau (New Zealand),n_spp,8,10,8,-20,-20,-20,-20
American Samoa,Tokelau (New Zealand),n_stock,8,10,8,-20,-20,-20,-20
American Samoa,Tokelau (New Zealand),sd_eez,0.05719614814456735,0.042835272361899955,0.04950027329102514,33.53,15.56,15.56,33.53
American Samoa,Tonga,max_eez,0.49732469374818616,0.48341818635512895,0.4688248984370216,2.88,-3.02,-3.02,2.88
American Samoa,Tonga,mean_eez,0.40886150878860744,0.39174960701108813,0.27805268914818027,4.37,-29.02,-29.02,4.37
American Samoa,Tonga,min_eez,0.29356843015825546,0.1678847205939831,0.2023372387566926,74.86,20.52,20.52,74.86
American Samoa,Tonga,n_per,39.53488372093023,NA,37.2093023255814,39.53488372093023,37.2093023255814,37.2093023255814,39.53488372093023
American Samoa,Tonga,n_spp,7,11,4,-36.36,-63.64,-63.64,-36.36
American Samoa,Tonga,n_stock,7,11,4,-36.36,-63.64,-63.64,-36.36
American Samoa,Tonga,sd_eez,0.05944686007584996,0.09830375705511543,0.11471654955283257,-39.53,16.7,16.7,-39.53
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),max_eez,0.7753091928544885,0.5110289572712886,0.7942725239914581,51.72,55.43,55.43,51.72
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),mean_eez,0.2847391984979495,0.3307087539811574,0.3770815734334283,-13.9,14.02,14.02,-13.9
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),min_eez,0.08930290330092241,0.08353921004797357,0.11520338316288531,6.9,37.9,37.9,6.9
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),n_per,41.66666666666667,NA,70.83333333333334,41.66666666666667,70.83333333333334,70.83333333333334,41.66666666666667
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),n_spp,7,18,17,-61.11,-5.56,-5.56,-61.11
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),n_stock,7,18,17,-61.11,-5.56,-5.56,-61.11
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),sd_eez,0.2201852552008502,0.10299896894430735,0.15113287659833238,113.77,46.73,46.73,100
Andaman & Nicobar Isl. (India),Myanmar,max_eez,0.16549881090706411,0.7703004656467257,0.5773300890616582,-78.52,-25.05,-25.05,-78.52
Andaman & Nicobar Isl. (India),Myanmar,mean_eez,0.1440384619690176,0.5689167436024181,0.1680379388032608,-74.68,-70.46,-70.46,-74.68
Andaman & Nicobar Isl. (India),Myanmar,min_eez,0.05128423037730467,0.07207099856857628,0.11690453150695292,-28.84,62.21,62.21,-28.84
Andaman & Nicobar Isl. (India),Myanmar,n_per,41.66666666666667,NA,70.83333333333334,41.66666666666667,70.83333333333334,70.83333333333334,41.66666666666667
Andaman & Nicobar Isl. (India),Myanmar,n_spp,4,17,7,-76.47,-58.82,-58.82,-76.47
Andaman & Nicobar Isl. (India),Myanmar,n_stock,4,17,7,-76.47,-58.82,-58.82,-76.47
Andaman & Nicobar Isl. (India),Myanmar,sd_eez,0.05129370316208579,0.2163345394491562,0.2040802633030766,-76.29,-5.66,-5.66,-76.29
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),max_eez,0.43466921436237704,0.5509656677200234,0.5875772214408119,-21.11,6.64,6.64,-21.11
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),mean_eez,0.1481758101022522,0.28749784326033645,0.27243027232205796,-48.46,-5.24,-5.24,-48.46
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),min_eez,0.07775387390173803,9.522545958478265e-4,0.08163784232160845,8065.24,8473.11,100,100
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),n_per,41.66666666666667,NA,70.83333333333334,41.66666666666667,70.83333333333334,70.83333333333334,41.66666666666667
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),n_spp,9,13,10,-30.77,-23.08,-23.08,-30.77
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),n_stock,9,13,10,-30.77,-23.08,-23.08,-30.77
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),sd_eez,0.1401369641499127,0.1792417938750258,0.1751040837176053,-21.82,-2.31,-2.31,-21.82
Angola,Congo (ex-Zaire),max_eez,0.8877739463455131,0.9826579656160832,0.8922318218249798,-9.66,-9.2,-9.2,-9.66
Angola,Congo (ex-Zaire),mean_eez,0.7858619130249952,0.883624043095795,0.7673499950820635,-11.06,-13.16,-13.16,-11.06
Angola,Congo (ex-Zaire),min_eez,0.7619047775483054,0.7390711894585106,0.7608781889414817,3.09,2.95,2.95,3.09
