eez_name,eez_neighbour,variable,early,historical,mid,per_early,per_mid,per_mid_plot,per_early_plot
American Samoa,Samoa,mean_eez,0.6548535328393598,0.647840040942798,0.6527859171905845,1.08,0.76,0.76,1.08
American Samoa,Samoa,min_eez,0.46292657342657345,0.4615645157311824,0.4623659673659674,0.3,0.17,0.17,0.3
American Samoa,Samoa,n_spp,14,14,14,0,0,0,0
American Samoa,Samoa,sd_eez,0.11382225423278375,0.11417463371230649,0.11174049771202231,-0.31,-2.13,-2.13,-0.31
American Samoa,Tokelau (New Zealand),max_eez,0.7420634920634921,0.8067005581806236,0.9441030040238324,-8.01,17.03,17.03,-8.01
American Samoa,Tokelau (New Zealand),mean_eez,0.6469806479997927,0.6085067083324892,0.8263465682878427,6.32,35.8,35.8,6.32
American Samoa,Tokelau (New Zealand),min_eez,0.5937066264385434,0.5676567656765676,0.7429761904761905,4.59,30.88,30.88,4.59
American Samoa,Tokelau (New Zealand),n_spp,9,10,9,-10,-10,-10,-10
American Samoa,Tokelau (New Zealand),sd_eez,0.05258150270537324,0.08756782175261378,0.06241975647185317,-39.95,-28.72,-28.72,-39.95
American Samoa,Tonga,max_eez,0.3896390024252284,0.38657345999325887,0.37437676961814526,0.79,-3.16,-3.16,0.79
American Samoa,Tonga,mean_eez,0.36247538157914544,0.35921221896163896,0.34436049198947133,0.91,-4.13,-4.13,0.91
American Samoa,Tonga,min_eez,0.26055271925357065,0.24306118941666383,0.2691440671837697,7.2,10.73,10.73,7.2
American Samoa,Tonga,n_spp,11,11,11,0,0,0,0
American Samoa,Tonga,sd_eez,0.04538783830892978,0.05184352984239265,0.038845444916756455,-12.45,-25.07,-25.07,-12.45
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),max_eez,0.5955960504344785,0.3373098258716455,0.6058517896779253,76.57,79.61,50,50
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),mean_eez,0.2663729803928587,0.24814350648131345,0.28908149313716086,7.35,16.5,16.5,7.35
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),min_eez,0.08197613016504243,0.09138653367673114,0.08632524152444808,-10.3,-5.54,-5.54,-10.3
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),n_spp,18,18,18,0,0,0,0
Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),sd_eez,0.11916378819532475,0.08855057440024523,0.1269804407239576,34.57,43.4,43.4,34.57
Andaman & Nicobar Isl. (India),Myanmar,max_eez,0.6555574880904996,0.5870736300137305,0.6655270841168542,11.67,13.36,13.36,11.67
Andaman & Nicobar Isl. (India),Myanmar,mean_eez,0.3991808192249082,0.3982347725688782,0.40015865210230633,0.24,0.48,0.48,0.24
Andaman & Nicobar Isl. (India),Myanmar,min_eez,0.10637036131838074,0.11465445200518555,0.10682270929729631,-7.23,-6.83,-6.83,-7.23
Andaman & Nicobar Isl. (India),Myanmar,n_spp,17,17,17,0,0,0,0
Andaman & Nicobar Isl. (India),Myanmar,sd_eez,0.19282351538668066,0.18454119704851452,0.19419068566839576,4.49,5.23,5.23,4.49
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),max_eez,0.503329126967609,0.5369862478537324,0.5171204992589582,-6.27,-3.7,-3.7,-6.27
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),mean_eez,0.33521752078076605,0.35100994875095126,0.3443720595362893,-4.5,-1.89,-1.89,-4.5
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),min_eez,0.07824999497474469,0.12253652381207893,0.11032495569297848,-36.14,-9.97,-9.97,-36.14
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),n_spp,13,13,13,0,0,0,0
Andaman & Nicobar Isl. (India),Thailand (Andaman Sea),sd_eez,0.12241649125331669,0.1244107438370064,0.11763814516483241,-1.6,-5.44,-5.44,-1.6
Angola,Congo (ex-Zaire),max_eez,0.9308156063185842,0.9326232608519905,0.9307882621599297,-0.19,-0.2,-0.2,-0.19
Angola,Congo (ex-Zaire),mean_eez,0.8572541887903727,0.8873195080728582,0.8569543259087656,-3.39,-3.42,-3.42,-3.39
Angola,Congo (ex-Zaire),min_eez,0.7844403947856633,0.816983466549284,0.783325189239949,-3.98,-4.12,-4.12,-3.98
Angola,Congo (ex-Zaire),n_spp,4,4,4,0,0,0,0
Angola,Congo (ex-Zaire),sd_eez,0.059759373067347625,0.05207315533707805,0.06020213219395038,14.76,15.61,15.61,14.76
Angola,"Congo, R. of",max_eez,0.945114558251872,0.9523809523809523,0.9283948113642339,-0.76,-2.52,-2.52,-0.76
Angola,"Congo, R. of",mean_eez,0.7596809602108449,0.8153947651522607,0.6668174736137891,-6.83,-18.22,-18.22,-6.83
Angola,"Congo, R. of",min_eez,0.470158822537112,0.6571353817978457,0.12552083333333333,-28.45,-80.9,-50,-28.45
Angola,"Congo, R. of",n_spp,6,5,7,20,40,40,20
Angola,"Congo, R. of",sd_eez,0.16765134496816175,0.10617382830877105,0.2816469887985529,57.9,165.27,50,50
Angola,Namibia,max_eez,0.6045804484855103,0.6170741922346337,0.6005098825593079,-2.02,-2.68,-2.68,-2.02
Angola,Namibia,mean_eez,0.3402053956580013,0.4126577586133066,0.3159874874513201,-17.56,-23.43,-23.43,-17.56
Angola,Namibia,min_eez,0.020499941420043254,0.10614501122273642,0.021926225164527826,-80.69,-79.34,-50,-50
Angola,Namibia,n_spp,19,18,19,5.56,5.56,5.56,5.56
Angola,Namibia,sd_eez,0.15909618579002616,0.11623890089629296,0.16673617186116327,36.87,43.44,43.44,36.87
Anguilla (UK),Antigua & Barbuda,max_eez,0.808958043256289,0.808050890409381,0.8168855042016807,0.11,1.09,1.09,0.11
Anguilla (UK),Antigua & Barbuda,mean_eez,0.4718449496876794,0.4684071385579069,0.471583326838583,0.73,0.68,0.68,0.73
